iteration,time_used(ms)
1,25.344293
2,34.210908
3,52.225229
4,61.082198
5,69.381462
6,100.568163
7,119.59392
8,144.814237
9,161.116017
10,169.902114
11,197.779108
12,225.996559
13,242.776522
14,251.409438
15,261.627306
16,278.482253
17,291.424142
18,336.31007
19,347.20793
20,364.4675
21,374.561229
22,394.344443
23,411.39452
24,455.490702
25,467.524415
26,540.964286
27,549.860417
28,568.066994
29,590.484428
30,610.266466
31,624.939428
32,641.47215
33,650.236678
34,663.225337
35,673.805767
36,686.629934
37,695.306499
38,727.077267
39,735.464299
40,752.782189
41,761.430378
42,770.049521
43,779.347882
44,803.600318
45,812.03422
46,818.853013
47,827.282553
48,835.526564
49,853.160963
50,1307.823068
51,1316.473143
52,1400.769398
53,1418.080449
54,1426.497799
55,1491.108088
56,1499.865659
57,1510.064332
58,1519.31193
59,1528.519627
60,1539.308481
61,1557.542482
62,1576.84855
63,1607.727094
64,1644.238629
65,1662.394748
66,1679.184057
67,1687.584423
68,1698.110501
69,1714.270496
70,1723.571739
71,1750.095344
72,1760.428158
73,1786.988109
74,1799.115788
75,1815.773855
76,1881.88623
77,2129.435571
78,2143.411962
79,2173.524165
80,2190.003112
81,2198.512432
82,2242.698249
83,2260.002476
84,2286.112138
85,2314.46184
86,2324.038524
87,2368.46907
88,2377.143699
89,2399.520465
90,2408.367849
91,2416.806121
92,2427.208715
93,2437.120949
94,2464.939289
95,2485.240861
96,2512.985018
97,2522.121979
98,2532.794811
99,2541.715325
100,2550.63178
