iteration,time_used(ms),python_coverage,c_coverage
1,35.012731,15058,7720
2,57.107628,15075,8059
3,88.272693,15111,8230
4,109.529643,15116,8384
5,128.309162,15117,8536
6,177.682781,15126,9124
7,211.9826,15156,9737
8,244.600445,15157,9925
9,278.150965,15181,9934
10,299.883445,15182,10095
11,357.237484,15227,10776
12,402.683791,15252,10984
13,434.403176,15254,11136
14,462.050035,15255,11297
15,486.016829,15256,11461
16,518.296809,15258,11617
17,546.64687,15259,11804
18,622.53479,15373,12456
19,645.872907,15386,12703
20,676.249036,15391,12859
21,698.292451,15392,13021
22,731.877195,15396,13180
23,762.547099,15398,13340
24,829.398995,15402,13340
25,853.985789,15411,13577
26,942.282065,15424,13764
27,961.870553,15425,13925
28,993.227073,15430,14092
29,1043.333652,15455,15214
30,1076.331558,15471,15214
31,1105.253702,15476,15407
32,1134.639652,15478,15567
33,1153.751144,15479,15728
34,1178.179899,15490,15936
35,1200.322823,15494,16086
36,1227.158829,15502,16238
37,1246.087798,15503,16399
38,1294.289453,15532,16592
39,1313.304906,15533,16752
40,1342.837681,15536,16918
41,1363.09974,15536,16918
42,1380.217063,15537,17079
43,1398.698584,15537,17079
44,1438.860542,15543,17405
45,1457.857447,15544,17557
46,1471.844832,15552,17697
47,1488.214338,15553,17849
48,1507.353697,15554,18001
49,1536.970005,15555,18001
50,2034.769605,15575,18001
51,2055.009677,15576,18154
52,2168.429117,15650,18784
53,2200.392983,15653,18946
54,2219.416469,15654,19107
55,2315.833649,15708,19684
56,2335.11799,15709,19837
57,2353.443198,15709,19837
58,2372.170436,15711,19989
59,2392.014006,15712,20149
60,2414.972197,15713,20341
61,2446.31444,15715,20503
62,2481.547744,15723,20722
63,2527.005396,15732,20722
64,2589.265238,15785,20876
65,2620.415563,15788,21038
66,2652.671406,15797,21216
67,2671.572816,15798,21376
68,2693.101874,15798,21376
69,2720.193629,15798,21376
70,2740.114789,15798,21376
71,2781.526236,15806,21376
72,2802.273836,15808,21562
73,2843.702118,15816,21562
74,2868.204086,15817,21754
75,2901.034379,15827,21754
76,2999.909515,15842,21834
77,3356.497261,16003,22924
78,3384.167962,16005,23110
79,3429.369444,16020,23110
80,3460.224675,16020,23110
81,3479.472632,16021,23271
82,3545.150969,16025,23271
83,3574.90418,16026,23271
84,3617.80987,16040,23271
85,3666.40103,16052,23271
86,3687.666817,16052,23271
87,3755.01525,16067,23542
88,3774.26741,16068,23694
89,3811.990772,16087,23902
90,3831.234872,16088,24063
91,3848.52435,16089,24216
92,3870.265964,16090,24216
93,3892.322819,16090,24216
94,3934.965309,16099,24216
95,3969.099565,16102,24218
96,4013.96737,16103,24218
97,4033.654667,16109,24372
98,4053.646109,16109,24372
99,4073.217765,16111,24534
100,4092.525153,16112,24686
