iteration,time_used(ms)
1,239.867084
2,465.763785
3,754.985535
4,834.230083
5,922.456722
6,1765.037601
7,2053.675493
8,3635.713951
9,3847.998728
10,4350.46872
11,4559.647983
12,4851.39507
13,5083.695279
14,5518.918701
15,5739.019262
16,7285.784262
17,7581.381391
18,7874.07657
19,8236.502551
20,8452.892946
21,8664.101568
22,9211.656332
23,9981.777548
24,10091.048501
25,10497.026386
26,10789.066229
27,10998.43499
28,11219.713742
29,11318.290887
30,12277.344881
31,12624.21012
32,12832.546069
33,14200.068171
34,15001.802119
35,15028.079951
36,15388.043912
37,17978.759533
38,18420.246742
39,18633.466624
40,20665.817352
41,20889.976275
42,21102.06402
43,21659.196865
44,21966.576682
45,22324.541327
46,22775.507961
47,23770.565596
48,24154.324465
49,24386.133709
50,24828.379799
51,25065.922756
52,25293.186272
53,25530.104839
54,25743.051358
55,26734.043953
56,26946.255927
57,27268.881958
58,29876.517439
59,30114.332859
60,30121.294955
61,30358.427856
62,30453.18987
63,30811.041807
64,32515.936283
65,32743.488236
66,35237.034847
67,35620.995621
68,38112.783778
69,38590.351914
70,41075.483761
71,41292.168214
72,42283.598668
73,42834.350118
74,42925.342586
75,43148.597498
76,43156.163274
77,43460.117942
78,43765.177382
79,44225.840906
80,44533.784315
81,44775.286731
82,53349.047155
83,53440.108398
84,53601.04429
85,53935.321136
86,54294.520392
87,56421.029864
88,56513.088351
89,56746.846862
90,56964.923095
91,57205.998605
92,57602.014384
93,57977.220761
94,58339.538034
95,58561.545603
96,58783.46071
97,59175.687968
98,59392.240067
99,59489.262724
100,59788.709583
