iteration,time_used(ms),python_coverage,c_coverage
1,358.527673,53008,14441
2,707.945247,53025,14443
3,1269.829315,53031,14519
4,1394.311814,53035,14527
5,1528.987084,53061,14603
6,2852.200403,53181,14871
7,3296.698437,53185,14872
8,5598.610822,53595,21244
9,5921.199416,53599,21245
10,6695.30464,53613,21255
11,7024.118661,53617,21255
12,7437.938335,53619,21261
13,7807.846628,53625,21261
14,8487.695049,53649,21295
15,8829.864777,53667,21309
16,11162.422106,53781,21459
17,11622.91267,53801,21465
18,12073.798808,53805,21474
19,12592.580184,53808,21474
20,12923.888411,53812,21475
21,13246.864882,53816,21475
22,14084.185396,53820,21475
23,15275.91025,53869,21486
24,15443.797567,53922,21490
25,16074.479716,53935,21490
26,16516.629447,53935,21490
27,16836.941457,53939,21490
28,17179.041044,53953,21500
29,17330.164277,53968,21503
30,18742.540982,54018,21503
31,19273.808472,54031,21507
32,19591.900133,54035,21507
33,21595.822868,54042,21507
34,22641.352674,54139,21631
35,22682.288562,54175,21631
36,23234.612378,54183,21636
37,27097.957902,54306,21770
38,27724.894381,54318,21770
39,28047.947694,54322,21770
40,30787.052738,54333,21781
41,31129.515137,54337,21782
42,31449.874941,54341,21782
43,32193.454841,54389,21785
44,32657.631225,54392,21786
45,33198.489151,54402,21786
46,33874.268371,54406,21786
47,34996.39435,54410,21795
48,35536.811301,54443,21795
49,35866.482229,54452,21815
50,36545.869915,54483,21816
51,36909.101228,54487,21816
52,37251.844841,54495,21817
53,37572.955886,54495,21825
54,37895.304559,54499,21826
55,38970.527574,54503,21826
56,39293.819615,54503,21826
57,39785.055882,54503,21826
58,43905.722292,54621,21871
59,44264.849054,54621,21871
60,44278.213181,54621,21871
61,44596.722916,54628,21871
62,44740.930251,54635,21873
63,45287.23388,54641,21873
64,47814.286685,54653,21875
65,48154.85367,54660,21875
66,51901.347544,54664,21875
67,52476.193535,54668,21876
68,56523.33133,54795,21913
69,57130.219239,54801,21913
70,60702.95692,54833,21913
71,61028.447871,54837,21913
72,62546.620693,54865,21913
73,63386.294018,54878,21913
74,63519.10871,54889,21913
75,63861.330528,54893,21913
76,63876.566284,54893,21913
77,64329.994852,54899,21913
78,64788.344005,54899,21913
79,65411.749036,54910,21921
80,65833.539233,54920,21921
81,66199.565049,54920,21921
82,81451.102436,55233,21956
83,81588.0694,55233,21956
84,81825.37592,55241,21956
85,82338.862376,55245,21968
86,82880.093728,55249,21969
87,86096.861455,55250,21971
88,86230.388097,55261,21971
89,86547.267077,55261,21971
90,86875.620419,55265,21971
91,87244.380921,55266,21971
92,87819.7705,55276,21971
93,88350.3038,55276,21971
94,88896.396149,55276,21972
95,89228.885724,55281,21973
96,89555.356212,55281,21973
97,90153.204517,55283,21973
98,90480.902114,55283,21973
99,90634.596703,55287,22063
100,91055.011077,55296,22063
