iteration,time_used(ms)
1,22.108729
2,38.116579
3,51.412591
4,63.962341
5,75.407176
6,708.123323
7,720.680722
8,733.524511
9,9718.911205
10,9732.817248
11,9746.72407
12,9759.839089
13,10075.911294
14,10152.818219
15,10170.385956
16,10182.815324
17,10908.383451
18,11502.430054
19,11518.462411
20,30600.527983
21,30620.122476
22,30631.533429
23,30649.324369
24,30662.022595
25,30686.88852
26,30698.304049
27,31443.738844
28,31454.337046
29,31507.746222
30,31525.447919
31,61572.43074
32,61684.020597
33,62244.195788
34,62259.102036
35,62271.321098
36,62294.336592
37,62308.671242
38,62329.113942
39,62385.849039
40,62470.394807
41,62496.399163
42,62507.643169
43,79979.504167
44,80096.036757
45,80107.786971
46,80292.507685
47,80311.31809
48,80323.946379
49,80939.09337
50,98475.770362
51,98503.811663
52,98529.043831
53,98540.330821
54,100235.007844
55,100251.087819
56,100265.742484
57,100289.927334
58,100304.527078
59,100319.910808
60,100337.03757
61,100349.283693
62,100361.969643
63,100372.782111
64,100384.760527
65,100409.161916
66,100428.761155
67,100447.213294
68,123682.640703
69,123750.476559
70,123772.861212
71,123788.306966
72,123819.824816
73,123864.779619
74,123878.899491
75,127467.38985
76,127479.437387
77,127607.370859
78,127623.484008
79,127638.890944
80,146271.913365
81,146294.065219
82,146305.393846
83,146316.230675
84,146326.771743
85,146345.950008
86,146360.172297
87,146376.248717
88,146391.757494
89,146419.71513
90,172309.58342
91,172328.749855
92,172361.217987
93,173084.793938
94,173098.863054
95,173429.406509
96,173440.875667
97,173463.089535
98,173522.425895
99,196550.804034
100,196572.678015
