dlf,analyzer,ET(ms),AT(ms),TT(ms)
tensorflow,base,17399.733301,3.796831,17403.530132
tensorflow,coverage.py,24604.853727,1021629.47754,1046234.331267
tensorflow,slipcover,24728.857256,766854.890522,791583.747778
tensorflow,dcov_python,19309.068647,10050.038742,29359.107389
tensorflow,dcov_c,28332.57588,11000.493727,39333.069607
tensorflow,dcov,31044.407021,20359.245638,51403.652659
torch,base,195907.030145,5.134216,195912.164361
torch,coverage.py,197345.533921,808473.598744,1005819.132665
torch,slipcover,195939.342905,234163.954027,430103.296932
torch,dcov_python,193316.82241,10133.031145,203449.853555
torch,dcov_c,764470.185178,10886.542472,775356.72765
torch,dcov,854939.38861,21771.079828,876710.468438
paddle,base,2384.080524,2.554147,2386.634671
paddle,coverage.py,4489.966222,485219.547683,489709.513905
paddle,slipcover,4742.230808,368313.548565,373055.779373
paddle,dcov_python,3279.831197,7939.7975,11219.628697
paddle,dcov_c,4947.469786,7836.50904,12783.978826
paddle,dcov,5212.027987,15636.089401,20848.117388
