BITMAP_SIZE,NO_PARALLEL,NORAM_BIT_COUNT,get_bb_cnt_python(ms),get_bb_cnt_c(ms),get_bb_cnts(ms)
16,1,1,0.01990147,0.01954183,0.03948363
16,1,0,0.00294087,0.0029165799999999998,0.0060704999999999995
16,0,1,0.36071216,0.008630529999999999,0.01725276
16,0,0,0.0137982,0.00690462,0.01343925
20,1,1,0.30803560999999996,0.30585096,0.61027577
20,1,0,0.044171180000000004,0.04457055000000001,0.08787191999999999
20,0,1,0.08532261000000001,0.05912865,0.08511974
20,0,0,0.023499370000000002,0.01666786,0.034190740000000004
24,1,1,4.88564139,4.87927569,9.79628904
24,1,0,0.69362793,0.69842136,1.38966635
24,0,1,0.79022942,1.19879193,0.76756699
24,0,0,0.19547820000000002,0.08750175,0.16702276000000002
28,1,1,78.31137932,78.22098507,156.87597139
28,1,0,11.29216862,11.358585519999998,22.96694227
28,0,1,7.17993921,5.74202129,10.82268481
28,0,0,1.42309674,0.9475309900000001,1.6299582899999998
