iteration,time_used(s),python_coverage,c_coverage
0,16.00494694709778,16835,13749
1,31.21666407585144,16846,14014
2,45.60750412940979,16846,14247
3,61.911473989486694,16850,14412
4,79.96936678886414,16850,14689
5,180.11962223052979,16861,15267
6,280.1993851661682,16861,15678
7,380.27000975608826,16862,16335
8,399.76438903808594,16862,16381
9,416.03943133354187,16874,16857
10,440.4837408065796,16874,17033
11,474.87100076675415,16874,17443
12,495.04077076911926,16874,17616
13,510.3848786354065,16874,17801
14,531.0985877513885,16874,17880
15,623.9398097991943,16884,18040
16,723.9995045661926,16884,18103
17,738.6625428199768,16884,18209
18,754.3694512844086,16948,18968
19,771.6020894050598,16948,19281
20,804.7825636863708,16952,19389
21,818.2797107696533,16955,19431
22,834.2763140201569,16958,19512
23,854.4396350383759,16964,19809
24,869.1993944644928,16964,19890
25,895.2530076503754,16987,20079
26,908.6502914428711,16987,20125
27,922.2374606132507,16999,20476
28,936.1381194591522,17004,20526
29,957.4062156677246,17004,20720
30,975.5140433311462,17004,20883
31,1029.0830056667328,17004,21389
32,1043.0839397907257,17004,21416
33,1143.1366584300995,17012,21499
34,1163.0718657970428,17012,21499
35,1178.2352643013,17012,21598
36,1196.897600889206,17012,21709
37,1213.7131576538086,17012,21757
38,1238.9140479564667,17013,21832
39,1261.534571647644,17013,21832
40,1361.6571514606476,17064,29517
41,1379.0229501724243,17066,29517
42,1399.8648529052734,17066,29558
43,1499.9140625,17067,29558
44,1513.0110864639282,17067,29599
45,1532.9395470619202,17067,29657
46,1589.3445446491241,17071,29724
47,1612.0286123752594,17071,29744
48,1672.2969727516174,17079,29877
49,1687.6052312850952,17079,29939
50,1699.681955575943,17080,29974
51,1720.4996984004974,17081,30016
52,1741.6728911399841,17081,30062
53,1836.967092037201,17086,30140
54,1851.7127668857574,17086,30167
55,1873.8764264583588,17086,30211
56,1891.289675951004,17087,30214
57,1909.7051198482513,17091,30333
58,1946.461096048355,17091,30370
59,2046.5150938034058,17091,30728
60,2059.3692882061005,17091,30837
61,2075.3214333057404,17091,30888
62,2156.7250502109528,17100,31166
63,2168.365063428879,17101,31188
64,2272.794635772705,17117,31517
65,2317.11239027977,17123,31547
66,2328.242319583893,17124,31571
67,2341.7864768505096,17124,31627
68,2358.931809902191,17128,31645
69,2379.807135820389,17128,31696
70,2401.291657447815,17224,31870
71,2419.057891845703,17224,31872
72,2436.732618331909,17230,32111
73,2453.90394115448,17230,32169
74,2469.1645514965057,17230,32203
75,2569.589585542679,17231,32203
76,2591.0736362934113,17231,32270
77,2617.4316477775574,17233,32393
78,2697.3576459884644,17273,32636
79,2715.37122964859,17273,32679
80,2736.550515651703,17280,32706
81,2756.9310426712036,17280,32759
82,2777.0614948272705,17280,32759
83,2792.567976474762,17280,32804
84,2811.686318397522,17280,32897
85,2831.1257433891296,17280,32926
86,2848.3503992557526,17280,32984
87,2870.3423552513123,17298,33069
88,2970.3869321346283,17299,33092
89,2986.487825155258,17301,33101
90,3010.0270454883575,17301,33155
91,3027.3608174324036,17301,33206
92,3127.4122734069824,17301,33279
93,3227.579022884369,17301,33418
94,3246.445832490921,17319,33557
95,3262.5061740875244,17319,33602
96,3278.8084995746613,17319,33666
97,3295.5141422748566,17319,33698
98,3309.8696472644806,17319,33728
99,3327.6863117218018,17319,33747
100,3345.2975087165833,17319,33777
101,3362.7003920078278,17319,33848
102,3375.4542315006256,17320,33848
103,3394.8703320026398,17323,33911
104,3494.9750740528107,17334,33914
105,3512.4952044487,17334,33962
106,3528.350419282913,17334,34044
107,3550.6944386959076,17334,34075
108,3565.399565219879,17334,34095
109,3628.0339472293854,17335,34095
110,3728.0949268341064,17335,34181
111,3743.451447248459,17335,34270
112,3761.765310525894,17335,34328
113,3774.2543334960938,17339,34361
114,3821.1986598968506,17490,34881
115,3837.661685705185,17496,34940
116,3851.0038204193115,17496,34957
117,3864.2949583530426,17496,34979
118,3883.1643533706665,17496,35020
119,3901.272711992264,17496,35069
120,3918.0468797683716,17496,35282
