iteration,time_used(s),python_coverage,c_coverage
0,18.256175994873047,16835,13694
1,37.248454332351685,16846,13963
2,54.02578067779541,16846,14187
3,67.2927794456482,16850,14351
4,86.7711033821106,16850,14624
5,103.24242854118347,16861,15175
6,203.5958273410797,16861,15580
7,303.64463210105896,16862,16261
8,320.9349377155304,16862,16316
9,339.07730746269226,16874,16794
10,356.62685894966125,16874,16970
11,373.16861033439636,16874,17330
12,392.21718549728394,16874,17516
13,410.21176862716675,16874,17702
14,432.72241401672363,16874,17781
15,458.236939907074,16879,17942
16,558.5608744621277,16879,18005
17,574.0010306835175,16879,18111
18,588.94016456604,16944,18937
19,609.5469760894775,16944,19214
20,628.6468141078949,16948,19325
21,641.6294212341309,16951,19367
22,658.6752529144287,16954,19448
23,678.8316531181335,16960,19729
24,694.923002243042,16960,19810
25,719.4926700592041,16983,19985
26,732.3832042217255,16983,20029
27,746.4672312736511,16995,20432
28,760.0441987514496,17000,20472
29,778.4888486862183,17000,20666
30,793.8798389434814,17000,20830
31,812.126814365387,17000,21294
32,828.4731719493866,17000,21321
33,928.6117837429047,17008,21418
34,944.2023856639862,17008,21418
35,957.182541847229,17008,21517
36,974.9767656326294,17008,21640
37,992.3152294158936,17008,21691
38,1013.2624821662903,17009,21766
39,1030.7015008926392,17009,21766
40,1131.0598487854004,17061,29480
41,1151.2537288665771,17063,29480
42,1165.9399082660675,17063,29516
43,1265.9713394641876,17064,29516
44,1282.9581282138824,17064,29557
45,1300.3558139801025,17064,29615
46,1360.0696201324463,17068,29682
47,1378.7545883655548,17068,29701
48,1432.5347950458527,17076,29834
49,1445.6618721485138,17076,29896
50,1458.742428779602,17077,29931
51,1474.7836830615997,17078,29973
52,1498.3472135066986,17078,30018
53,1598.3991513252258,17083,30090
54,1612.6690244674683,17083,30117
55,1638.7445924282074,17083,30161
56,1659.4700255393982,17084,30166
57,1673.257042169571,17088,30285
58,1706.334166765213,17088,30322
59,1806.3749866485596,17088,30634
60,1823.4258692264557,17088,30743
61,1838.6047995090485,17088,30794
62,1906.1914277076721,17097,31042
63,1919.3200104236603,17098,31064
64,2019.404223203659,17114,31415
65,2066.1394550800323,17120,31443
66,2079.1143140792847,17121,31467
67,2095.0473279953003,17121,31512
68,2111.5915863513947,17125,31516
69,2129.1854515075684,17125,31566
70,2180.803549051285,17221,31732
71,2200.793172597885,17221,31734
72,2219.9365181922913,17227,31973
73,2238.5862340927124,17227,32031
74,2251.0636973381042,17227,32064
75,2351.1159048080444,17228,32067
76,2368.7618288993835,17228,32134
77,2394.135324239731,17230,32236
78,2458.041871547699,17268,32426
79,2476.141520500183,17268,32469
80,2498.708964586258,17275,32495
81,2518.8124730587006,17275,32548
82,2534.9077129364014,17275,32548
83,2551.340208530426,17275,32593
84,2564.8152832984924,17275,32684
85,2585.864362478256,17275,32714
86,2600.303915500641,17275,32750
87,2620.2510907649994,17293,32835
88,2720.3154401779175,17293,32840
89,2736.550640821457,17295,32850
90,2749.1326775550842,17295,32904
91,2765.2227964401245,17295,32955
92,2855.287564277649,17295,33061
