iteration,time_used(s),python_coverage,c_coverage
0,12.664966583251953,52746,0
1,25.200922966003418,52746,0
2,37.637505531311035,52748,0
3,49.922386169433594,52758,0
4,62.46034479141235,52758,0
5,75.16386771202087,52758,0
6,87.86817359924316,52758,0
7,100.41228365898132,52758,0
8,112.90830540657043,52758,0
9,125.65430068969727,52758,0
10,138.29783582687378,52758,0
11,150.9895555973053,52758,0
12,163.48078107833862,52758,0
13,176.0212631225586,52758,0
14,188.66758155822754,52758,0
15,201.41387605667114,52758,0
16,214.00565886497498,52758,0
17,226.65235471725464,52758,0
18,239.1947340965271,52758,0
19,251.58472442626953,52758,0
20,264.07610177993774,52758,0
21,276.5641391277313,52758,0
22,289.1067590713501,52758,0
23,301.75075364112854,52758,0
24,314.54021406173706,52758,0
25,327.14041662216187,52758,0
26,340.0866165161133,52758,0
27,352.7901782989502,52758,0
28,365.52690958976746,52758,0
29,378.1685252189636,52758,0
30,390.6613507270813,52758,0
31,403.3965229988098,52758,0
32,416.13281512260437,52758,0
33,429.9235460758209,52762,0
34,442.5204794406891,52762,0
35,455.1128406524658,52762,0
36,467.70295310020447,52762,0
37,480.5454821586609,52762,0
38,493.2424352169037,52762,0
39,505.9360146522522,52762,0
