iteration,time_used(s),python_coverage,c_coverage
0,23.84390687942505,53147,14769
1,45.57724332809448,53257,14993
2,104.54356789588928,53262,15006
3,129.33328008651733,53342,15067
4,153.42936182022095,53376,15148
5,176.54185485839844,53404,15197
6,201.22682905197144,53759,15553
7,293.49670124053955,54034,21838
8,353.9221279621124,55254,23665
9,414.92442774772644,55296,23701
10,441.5573546886444,55318,23749
11,525.9141929149628,55692,23851
12,548.8046193122864,55700,23852
13,571.0369474887848,55708,23853
14,596.1378660202026,55793,23870
15,617.1411063671112,55797,23870
16,645.8938093185425,55879,23875
17,670.9906289577484,55913,23897
18,693.9402494430542,55918,23905
19,718.7840645313263,55925,23906
20,742.3748526573181,55929,23907
21,767.7342338562012,55930,23907
22,791.921900510788,55936,23908
23,814.7293586730957,55950,23919
24,867.7957530021667,55954,23921
25,890.5185279846191,55972,23924
26,914.18479180336,55977,23924
27,936.7189660072327,55992,23930
28,962.0114216804504,55993,23930
29,986.1739189624786,56009,23930
30,1012.7091104984283,56024,23930
31,1094.66348695755,56192,24014
32,1128.8936727046967,56415,24078
33,1142.6374533176422,56415,24078
34,1178.6765248775482,56419,24081
35,1236.3243033885956,56429,24081
36,1257.0005357265472,56442,24081
37,1283.6978697776794,56442,24081
38,1306.590684890747,56444,24081
39,1331.9465370178223,56467,24081
40,1394.514769077301,56472,24083
41,1478.8704733848572,56488,24084
42,1545.3933458328247,56504,24084
43,1573.8502161502838,56505,24088
44,1598.2865824699402,56521,24103
45,1652.8323261737823,56537,24118
46,1720.2071998119354,56546,24118
47,1734.2577922344208,56546,24118
48,1758.0552604198456,56551,24466
49,1781.9927816390991,56552,24466
50,1803.5803883075714,56564,24466
51,1824.590654373169,56577,24466
52,1849.7651371955872,56577,24473
53,1907.110676765442,56577,24473
54,1932.2609372138977,56583,24473
55,1998.441678762436,56624,24473
56,2057.4821553230286,56626,24473
57,2081.595022916794,56631,24477
58,2117.070286512375,56667,24477
59,2141.4628994464874,56667,24488
60,2165.906883239746,56675,24488
61,2188.7994940280914,56676,24492
62,2217.6282665729523,56695,24492
63,2247.496448278427,56700,24497
64,2271.076013326645,56701,24499
65,2294.5958404541016,56708,24499
66,2325.156493663788,56717,24499
67,2388.227942943573,56728,24499
68,2410.865866661072,56738,24501
69,2438.4423315525055,56750,25361
70,2461.0839529037476,56750,25361
71,2489.1011111736298,56764,25361
72,2513.1960439682007,56767,25364
73,2577.836472272873,56767,25364
74,2654.490616083145,56779,25381
75,2678.626415014267,56789,25381
76,2762.0274288654327,56801,25412
77,2784.7655119895935,56812,25412
78,2822.1560413837433,56812,25412
79,2905.562838077545,56829,25412
80,2929.0452983379364,56843,25424
81,2991.0286841392517,56853,25432
82,3014.4677720069885,56858,25433
83,3085.770271062851,58082,86406
84,3117.235995531082,58096,86416
85,3131.224695920944,58109,86416
86,3154.416752099991,58133,86417
87,3176.8258440494537,58133,86417
88,3205.202736377716,58136,86417
89,3234.6597077846527,58136,86417
90,3257.64489197731,58136,86425
91,3281.7815685272217,58147,86425
92,3307.4261105060577,58160,86429
93,3311.4793648719788,58160,86429
94,3337.116865158081,58175,86429
95,3359.80038356781,58185,86429
96,3398.101734161377,58285,86555
97,3457.027642726898,58296,86555
98,3481.252603292465,58297,86556
99,3503.1164829730988,58307,86556
100,3523.7764978408813,58315,86556
101,3549.632245540619,58340,86556
102,3604.503051519394,58341,86556
103,3627.8399879932404,58347,86556
104,3652.4647047519684,58347,86559
105,3687.1024181842804,58352,86561
106,3743.1231405735016,58353,86561
107,3805.7884981632233,58354,86561
108,3838.938074350357,58384,86569
109,3863.8537199497223,58393,86569
110,3894.855479001999,58409,86596
111,3924.9974975585938,58415,86596
112,3954.310738325119,58426,86596
113,4010.5368235111237,58454,86630
114,4065.155908346176,58461,86630
115,4133.49783706665,58522,86630
116,4155.92472910881,58522,86630
117,4180.602251768112,58526,86630
118,4243.15434551239,58542,86630
119,4278.888610839844,58566,93427
