total testcases: 843
coverage_c=789, time_used=13634314
coverage_c=1116, time_used=2930669
coverage_c=1200, time_used=2803587
coverage_c=1208, time_used=3058530
coverage_c=1246, time_used=2746064
coverage_c=1246, time_used=3000322
coverage_c=1248, time_used=3017488
coverage_c=1255, time_used=3006238
coverage_c=1257, time_used=2930383
coverage_c=1270, time_used=3238839
coverage_c=1299, time_used=2927876
coverage_c=1300, time_used=2983157
coverage_c=1303, time_used=2863123
coverage_c=1313, time_used=3868659
coverage_c=1315, time_used=2917578
coverage_c=1316, time_used=2910357
coverage_c=1316, time_used=2905620
coverage_c=1316, time_used=4761180
coverage_c=1316, time_used=2354175
coverage_c=1316, time_used=4281581
coverage_c=1316, time_used=4763473
coverage_c=1316, time_used=4754296
coverage_c=1316, time_used=4786458
coverage_c=1317, time_used=2882575
coverage_c=1317, time_used=2814448
coverage_c=1317, time_used=2949317
coverage_c=1317, time_used=4737014
coverage_c=1317, time_used=4759011
coverage_c=1317, time_used=3201897
coverage_c=1317, time_used=3083146
Exception 发生了, [Errno 104] Connection reset by peer
coverage_c=1333, time_used=1694282
coverage_c=1335, time_used=2892187
coverage_c=1335, time_used=2913134
coverage_c=1335, time_used=3159062
coverage_c=1335, time_used=8332347
coverage_c=1336, time_used=3900100
coverage_c=1336, time_used=11709537
coverage_c=1336, time_used=4101244
coverage_c=1336, time_used=13571464
coverage_c=1336, time_used=3218349
coverage_c=1336, time_used=2134360
coverage_c=1336, time_used=2815588
coverage_c=1337, time_used=2842890
coverage_c=1337, time_used=3829279
coverage_c=1337, time_used=2817668
coverage_c=1337, time_used=4120040
coverage_c=1338, time_used=2863196
coverage_c=1338, time_used=2849016
coverage_c=1338, time_used=2913183
coverage_c=1338, time_used=2721302
coverage_c=1338, time_used=2388859
coverage_c=1338, time_used=2817237
coverage_c=1338, time_used=4733346
coverage_c=1342, time_used=3743461
coverage_c=1343, time_used=2931284
coverage_c=1343, time_used=2751994
coverage_c=1343, time_used=2795167
coverage_c=1343, time_used=4719294
coverage_c=1343, time_used=4743080
coverage_c=1344, time_used=2003392
coverage_c=1344, time_used=4714010
coverage_c=1344, time_used=2803060
coverage_c=1344, time_used=1739785
coverage_c=1344, time_used=5805125
coverage_c=1344, time_used=2844657
coverage_c=1346, time_used=3910437
coverage_c=1346, time_used=2144658
coverage_c=1346, time_used=2959303
coverage_c=1346, time_used=3189009
coverage_c=1349, time_used=3440683
coverage_c=1350, time_used=2899323
coverage_c=1350, time_used=2903954
coverage_c=1350, time_used=2954943
coverage_c=1350, time_used=4160839
coverage_c=1350, time_used=4379089
coverage_c=1350, time_used=3069618
coverage_c=1350, time_used=2308894
coverage_c=1350, time_used=4118004
coverage_c=1351, time_used=3474933
coverage_c=1351, time_used=2900709
coverage_c=1352, time_used=2886851
coverage_c=1352, time_used=2603376
coverage_c=1352, time_used=4778143
coverage_c=1352, time_used=2610717
coverage_c=1352, time_used=4694408
coverage_c=1352, time_used=4756796
coverage_c=1352, time_used=2975783
coverage_c=1352, time_used=2212262
coverage_c=1352, time_used=2835225
coverage_c=1352, time_used=2903467
coverage_c=1352, time_used=4740328
coverage_c=1356, time_used=2775293
coverage_c=1356, time_used=4416884
coverage_c=1356, time_used=3115389
coverage_c=1356, time_used=2810280
coverage_c=1356, time_used=2859265
coverage_c=1356, time_used=2400445
coverage_c=1356, time_used=2854974
coverage_c=1356, time_used=2947147
coverage_c=1356, time_used=2836436
coverage_c=1356, time_used=4510463
coverage_c=1356, time_used=3502427
coverage_c=1356, time_used=2774242
Exception 发生了, [Errno 111] Connection refused
coverage_c=1358, time_used=3593830
coverage_c=1358, time_used=1974184
coverage_c=1358, time_used=2897806
coverage_c=1358, time_used=2899755
coverage_c=1358, time_used=2905147
coverage_c=1358, time_used=3317617
coverage_c=1358, time_used=2794544
coverage_c=1358, time_used=2826712
coverage_c=1358, time_used=16673984
coverage_c=1358, time_used=2928754
coverage_c=1358, time_used=2803821
coverage_c=1362, time_used=2925747
coverage_c=1362, time_used=2840159
coverage_c=1362, time_used=2924595
coverage_c=1362, time_used=3489294
coverage_c=1362, time_used=4750989
coverage_c=1362, time_used=4775194
coverage_c=1362, time_used=2503456
coverage_c=1363, time_used=2678622
coverage_c=1363, time_used=4393173
coverage_c=1363, time_used=2831518
coverage_c=1363, time_used=2812161
coverage_c=1363, time_used=2947114
coverage_c=1363, time_used=2915879
coverage_c=1363, time_used=2912688
coverage_c=1363, time_used=2901801
coverage_c=1364, time_used=2870778
coverage_c=1364, time_used=4286463
coverage_c=1364, time_used=4758966
coverage_c=1364, time_used=2290538
coverage_c=1364, time_used=4767730
coverage_c=1364, time_used=2796037
coverage_c=1364, time_used=2875595
coverage_c=1364, time_used=2928333
coverage_c=1364, time_used=4169513
coverage_c=1364, time_used=2465151
coverage_c=1364, time_used=1715999
coverage_c=1364, time_used=4711905
coverage_c=1364, time_used=3299920
coverage_c=1364, time_used=4466697
coverage_c=1364, time_used=4484679
coverage_c=1364, time_used=2896935
coverage_c=1364, time_used=2833369
coverage_c=1364, time_used=2550448
coverage_c=1364, time_used=3505144
coverage_c=1364, time_used=2859728
coverage_c=1364, time_used=3632676
coverage_c=1364, time_used=2818006
coverage_c=1364, time_used=2775065
coverage_c=1364, time_used=2906149
coverage_c=1364, time_used=2941587
coverage_c=1364, time_used=3264653
Exception 发生了, [Errno 104] Connection reset by peer
coverage_c=1364, time_used=2780927
coverage_c=1364, time_used=4697122
coverage_c=1364, time_used=2833617
coverage_c=1364, time_used=4205223
coverage_c=1364, time_used=1744778
coverage_c=1364, time_used=4801692
coverage_c=1364, time_used=10298467
coverage_c=1364, time_used=10463393
coverage_c=1364, time_used=10233650
coverage_c=1364, time_used=12909864
coverage_c=1367, time_used=10205114
coverage_c=1367, time_used=3954737
coverage_c=1367, time_used=2390712
coverage_c=1367, time_used=4807103
coverage_c=1367, time_used=4856414
coverage_c=1367, time_used=4789287
coverage_c=1367, time_used=3593584
coverage_c=1367, time_used=4790554
coverage_c=1367, time_used=4845838
coverage_c=1367, time_used=4788606
coverage_c=1367, time_used=4864800
coverage_c=1367, time_used=2795331
coverage_c=1367, time_used=4886746
coverage_c=1367, time_used=7064946
coverage_c=1367, time_used=4811982
coverage_c=1369, time_used=4855387
coverage_c=1369, time_used=5067228
coverage_c=1369, time_used=4862139
coverage_c=1369, time_used=4853220
coverage_c=1369, time_used=4876992
coverage_c=1369, time_used=3283242
coverage_c=1369, time_used=2787092
Exception 发生了, [Errno 111] Connection refused
coverage_c=1369, time_used=3277719
coverage_c=1369, time_used=3450236
coverage_c=1369, time_used=10507315
coverage_c=1369, time_used=3152514
coverage_c=1369, time_used=3019352
coverage_c=1369, time_used=3179405
coverage_c=1369, time_used=3618360
coverage_c=1369, time_used=4743037
coverage_c=1369, time_used=4898781
coverage_c=1369, time_used=2630450
coverage_c=1369, time_used=4040153
coverage_c=1369, time_used=4777786
coverage_c=1369, time_used=3258331
coverage_c=1369, time_used=2788287
coverage_c=1369, time_used=4993238
coverage_c=1369, time_used=4790872
coverage_c=1369, time_used=4828394
coverage_c=1369, time_used=4853578
coverage_c=1369, time_used=4806419
coverage_c=1369, time_used=4833907
coverage_c=1369, time_used=3299816
coverage_c=1369, time_used=5908202
coverage_c=1369, time_used=9563575
coverage_c=1379, time_used=8521011
coverage_c=1379, time_used=9166248
coverage_c=1379, time_used=9923304
coverage_c=1379, time_used=9636272
coverage_c=1379, time_used=1903553
coverage_c=1379, time_used=4732801
coverage_c=1379, time_used=1989671
coverage_c=1379, time_used=4873218
coverage_c=1379, time_used=4811903
coverage_c=1379, time_used=4802304
coverage_c=1379, time_used=2785922
coverage_c=1379, time_used=4783075
coverage_c=1379, time_used=4839201
coverage_c=1379, time_used=4855372
coverage_c=1379, time_used=4725962
coverage_c=1379, time_used=4859869
coverage_c=1379, time_used=4882252
coverage_c=1379, time_used=4921850
coverage_c=1379, time_used=2601224
coverage_c=1379, time_used=4795781
coverage_c=1379, time_used=4891496
coverage_c=1379, time_used=4855287
coverage_c=1379, time_used=4900045
coverage_c=1379, time_used=10451371
coverage_c=1380, time_used=9124548
coverage_c=1382, time_used=10243457
coverage_c=1382, time_used=9294203
coverage_c=1382, time_used=3843570
coverage_c=1382, time_used=10351737
coverage_c=1382, time_used=12224938
coverage_c=1382, time_used=15209055
coverage_c=1382, time_used=4885539
coverage_c=1382, time_used=9689386
coverage_c=1382, time_used=9647753
coverage_c=1382, time_used=10566658
coverage_c=1382, time_used=10575926
coverage_c=1382, time_used=12028078
coverage_c=1382, time_used=4808894
coverage_c=1382, time_used=4825194
coverage_c=1382, time_used=4717927
coverage_c=1382, time_used=4876892
coverage_c=1382, time_used=4874368
coverage_c=1382, time_used=2631987
coverage_c=1382, time_used=4877834
coverage_c=1382, time_used=4820241
coverage_c=1382, time_used=2766764
coverage_c=1382, time_used=4831865
coverage_c=1382, time_used=4898860
coverage_c=1382, time_used=4864264
coverage_c=1382, time_used=5006452
coverage_c=1382, time_used=4925894
coverage_c=1382, time_used=5080695
coverage_c=1382, time_used=4851003
coverage_c=1382, time_used=2900211
coverage_c=1382, time_used=2884234
coverage_c=1382, time_used=3443392
coverage_c=1382, time_used=2901678
coverage_c=1382, time_used=2938934
coverage_c=1382, time_used=3032604
coverage_c=1382, time_used=3036633
coverage_c=1382, time_used=2980846
coverage_c=1382, time_used=3583775
coverage_c=1382, time_used=2835712
coverage_c=1382, time_used=3495229
coverage_c=1382, time_used=3545746
coverage_c=1382, time_used=2957482
coverage_c=1382, time_used=3416919
